,Date,TSLA
0,2010-06-29,4.7779998779296875
1,2010-06-30,4.771999835968018
2,2010-07-01,4.645333290100098
3,2010-07-02,4.443999946117401
4,2010-07-06,4.199599933624268
5,2010-07-07,4.026333292325337
6,2010-07-08,3.949999979564122
7,2010-07-09,3.8912499845027924
8,2010-07-12,3.837777773539225
9,2010-07-13,3.8167999982833862
10,2010-07-14,3.8305454470894555
11,2010-07-15,3.842833320299784
12,2010-07-16,3.8647692020122824
13,2010-07-19,3.901714256831578
14,2010-07-20,3.9122666358947753
15,2010-07-21,3.9204999804496765
16,2010-07-22,3.936941146850586
17,2010-07-23,3.9547777440812855
18,2010-07-26,3.9671578658254525
19,2010-07-27,3.9742999792099
20,2010-07-28,3.9823809351239885
21,2010-07-29,3.9863636276938696
22,2010-07-30,3.9864347706670347
23,2010-08-02,3.994666655858358
24,2010-08-03,4.010479984283447
25,2010-08-04,4.019769210081834
26,2010-08-05,4.022370356100577
27,2010-08-06,4.018642842769623
28,2010-08-09,4.015241368063565
29,2010-08-10,4.008266655604045
30,2010-08-11,3.9944515997363674
31,2010-08-12,3.9796249866485596
32,2010-08-13,3.970060594154127
33,2010-08-16,3.963764695560231
34,2010-08-17,3.959942844935826
35,2010-08-18,3.9542222089237637
36,2010-08-19,3.94891890319618
37,2010-08-20,3.9455262987237227
38,2010-08-23,3.9475897275484524
39,2010-08-24,3.944899982213974
40,2010-08-25,3.945756080673962
41,2010-08-26,3.945857127507528
42,2010-08-27,3.945720916570619
43,2010-08-30,3.94636362249201
44,2010-08-31,3.9452444288465713
45,2010-09-01,3.948391292406165
46,2010-09-02,3.953999986039831
47,2010-09-03,3.95933332045873
48,2010-09-07,3.9623673302786693
49,2010-09-08,3.9667199802398683
50,2010-09-09,3.970156847261915
51,2010-09-10,3.971384598658635
52,2010-09-13,3.9746414940312222
53,2010-09-14,3.9792592437179
54,2010-09-15,3.9868363467129795
55,2010-09-16,3.990428558417729
56,2010-09-17,3.991403496056272
57,2010-09-20,3.995206882213724
58,2010-09-21,3.9978982876923124
59,2010-09-22,3.9974999825159707
60,2010-09-23,3.9960983424890237
61,2010-09-24,3.9964838527864024
62,2010-09-27,3.998222203481765
63,2010-09-28,4.002624984830618
64,2010-09-29,4.008676906732412
65,2010-09-30,4.009787859338703
66,2010-10-01,4.011432814953932
67,2010-10-04,4.014176449354957
68,2010-10-05,4.017217370047086
69,2010-10-06,4.018285693441118
70,2010-10-07,4.019239415585155
71,2010-10-08,4.020166645447413
72,2010-10-11,4.0205479223434235
73,2010-10-12,4.020918894458461
74,2010-10-13,4.022079973220825
75,2010-10-14,4.023763132722754
76,2010-10-15,4.02485711543591
77,2010-10-18,4.025128178107432
78,2010-10-19,4.02493668507926
79,2010-10-20,4.026249977946281
80,2010-10-21,4.027777757173703
81,2010-10-22,4.0291951022497035
82,2010-10-25,4.030891547720116
83,2010-10-26,4.0337618844849725
84,2010-10-27,4.035717624776503
85,2010-10-28,4.038069744442785
86,2010-10-29,4.041862046581575
87,2010-11-01,4.04459088769826
88,2010-11-02,4.046898855252213
89,2010-11-03,4.050311091211107
90,2010-11-04,4.060527453055749
91,2010-11-05,4.069521719994753
92,2010-11-08,4.079483850027925
93,2010-11-09,4.088489342243113
94,2010-11-10,4.107263140929373
95,2010-11-11,4.122895814478397
96,2010-11-12,4.141917506444085
97,2010-11-15,4.1625101833927385
98,2010-11-16,4.180404020078255
99,2010-11-17,4.197579977512359
100,2010-11-18,4.209579980373382
101,2010-11-19,4.223899981975555
102,2010-11-22,4.246779978275299
103,2010-11-23,4.277519979476929
104,2010-11-24,4.31623997926712
105,2010-11-26,4.35527997970581
106,2010-11-29,4.389019980430603
107,2010-11-30,4.4248799800872805
108,2010-12-01,4.459479978084564
109,2010-12-02,4.487899975776672
110,2010-12-03,4.511199975013733
111,2010-12-06,4.5320399737358095
112,2010-12-07,4.553879973888397
113,2010-12-08,4.574799973964691
114,2010-12-09,4.598299973011017
115,2010-12-10,4.620899970531464
116,2010-12-13,4.639999973773956
117,2010-12-14,4.654479973316192
118,2010-12-15,4.671779973506927
119,2010-12-16,4.692299973964691
120,2010-12-17,4.713579971790313
121,2010-12-20,4.736279971599579
122,2010-12-21,4.760919973850251
123,2010-12-22,4.784339973926544
124,2010-12-23,4.800619976520538
125,2010-12-27,4.8091999793052675
126,2010-12-28,4.821119978427887
127,2010-12-29,4.837399978637695
128,2010-12-30,4.851199979782105
129,2010-12-31,4.8663999819755555
130,2011-01-03,4.883839981555939
131,2011-01-04,4.901979982852936
132,2011-01-05,4.9189999842643735
133,2011-01-06,4.937199985980987
134,2011-01-07,4.955379984378815
135,2011-01-10,4.9747399854660035
136,2011-01-11,4.991079988479615
137,2011-01-12,5.006799991130829
138,2011-01-13,5.018979990482331
139,2011-01-14,5.032079992294311
140,2011-01-18,5.043559989929199
141,2011-01-19,5.052119991779327
142,2011-01-20,5.057959992885589
143,2011-01-21,5.064299991130829
144,2011-01-24,5.074319989681244
145,2011-01-25,5.082779986858368
146,2011-01-26,5.090159986019135
147,2011-01-27,5.097899987697601
148,2011-01-28,5.104839990139007
149,2011-01-31,5.1112399935722355
150,2011-02-01,5.117639992237091
151,2011-02-02,5.1251799941062925
152,2011-02-03,5.130999991893768
153,2011-02-04,5.1356799912452695
154,2011-02-07,5.1378599905967715
155,2011-02-08,5.144959986209869
156,2011-02-09,5.150919988155365
157,2011-02-10,5.155239989757538
158,2011-02-11,5.1601999926567075
159,2011-02-14,5.16661999464035
160,2011-02-15,5.173179993629455
