,Date,GOOGL
0,2010-01-04,313.6886901855469
1,2010-01-05,312.9980010986328
2,2010-01-06,310.1434834798177
3,2010-01-07,306.94445037841797
4,2010-01-08,305.817822265625
5,2010-01-11,304.99082946777344
6,2010-01-12,303.6400713239397
7,2010-01-13,302.4149169921875
8,2010-01-14,301.6155056423611
9,2010-01-15,300.4829833984375
10,2010-01-19,299.9030844948509
11,2010-01-20,299.1191177368164
12,2010-01-21,298.5547062800481
13,2010-01-22,296.89224679129467
14,2010-01-25,295.11744791666666
15,2010-01-26,293.6401996612549
16,2010-01-27,292.3273243623621
17,2010-01-28,290.9431627061632
18,2010-01-29,289.5901135896382
19,2010-02-01,288.449446105957
20,2010-02-02,287.37213134765625
21,2010-02-03,286.6134296764027
22,2010-02-04,285.6151786472486
23,2010-02-05,284.79416783650714
24,2010-02-08,284.0824816894531
25,2010-02-09,283.4827129657452
26,2010-02-10,282.89048258463544
27,2010-02-11,282.3754108973912
28,2010-02-12,281.83925234038253
29,2010-02-16,281.4753082275391
30,2010-02-17,281.084955030872
31,2010-02-18,280.79735946655273
32,2010-02-19,280.4898838852391
33,2010-02-22,280.23052439970127
34,2010-02-23,279.8754464285714
35,2010-02-24,279.49004533555774
36,2010-02-25,279.05730046452703
37,2010-02-26,278.6522048147101
38,2010-03-01,278.34347142928686
39,2010-03-02,278.15490493774416
40,2010-03-03,278.0275395090987
41,2010-03-04,278.0167069208054
42,2010-03-05,278.11835071652433
43,2010-03-08,278.1956953568892
44,2010-03-09,278.24413248697914
45,2010-03-10,278.46738002611244
46,2010-03-11,278.73107130984044
47,2010-03-12,278.9670918782552
48,2010-03-15,279.02637279276945
49,2010-03-16,279.1035028076172
50,2010-03-17,279.1811409744562
51,2010-03-18,279.26387845552887
52,2010-03-19,279.28305571933964
53,2010-03-22,279.27835139521846
54,2010-03-23,279.19646828391336
55,2010-03-24,279.19195883614674
56,2010-03-25,279.23634043911045
57,2010-03-26,279.2775521113955
58,2010-03-29,279.3153308933064
59,2010-03-30,279.38738606770835
60,2010-03-31,279.46044271500386
61,2010-04-01,279.5447048064201
62,2010-04-05,279.6438492063492
63,2010-04-06,279.7180767059326
64,2010-04-07,279.75398418719953
65,2010-04-08,279.81875749067825
66,2010-04-09,279.87211039528916
67,2010-04-12,279.97180938720703
68,2010-04-13,280.170459692029
69,2010-04-14,280.37937883649556
70,2010-04-15,280.6268233178367
71,2010-04-16,280.5535388522678
72,2010-04-19,280.48191938008347
73,2010-04-20,280.44564736855995
74,2010-04-21,280.4054044596354
75,2010-04-22,280.3185412758275
76,2010-04-23,280.22047919731637
77,2010-04-26,280.03926908052887
78,2010-04-27,279.84630111501184
79,2010-04-28,279.65897064208986
80,2010-04-29,279.4936286078559
81,2010-04-30,279.29386604123
82,2010-05-03,279.12846466432137
83,2010-05-04,278.8226311093285
84,2010-05-05,278.5439546472886
85,2010-05-06,278.2072177265966
86,2010-05-07,277.84640853706446
87,2010-05-10,277.6559503728693
88,2010-05-11,277.39891480863764
89,2010-05-12,277.12723744710286
90,2010-05-13,276.8917259803185
91,2010-05-14,276.64310952891475
92,2010-05-17,276.40220773348244
93,2010-05-18,276.11531651273685
94,2010-05-19,275.81370753238076
95,2010-05-20,275.41713492075604
96,2010-05-21,275.0134661173083
97,2010-05-24,274.6441329644651
98,2010-05-25,274.28180609809027
99,2010-05-26,273.9187178039551
100,2010-05-27,273.23658569335936
101,2010-05-28,272.54409317016604
102,2010-06-01,271.91401290893555
103,2010-06-02,271.4098587036133
104,2010-06-03,270.92727615356443
105,2010-06-04,270.41481353759764
106,2010-06-07,269.88948837280276
107,2010-06-08,269.37742630004885
108,2010-06-09,268.79769668579104
109,2010-06-10,268.33228134155274
110,2010-06-11,267.83618530273435
111,2010-06-14,267.3495988464355
112,2010-06-15,266.9242236328125
113,2010-06-16,266.6802796936035
114,2010-06-17,266.480479888916
115,2010-06-18,266.26831771850584
116,2010-06-21,266.00034973144534
117,2010-06-22,265.7599092102051
118,2010-06-23,265.5202195739746
119,2010-06-24,265.23032974243165
120,2010-06-25,264.9378372192383
121,2010-06-28,264.59379302978516
122,2010-06-29,264.230830078125
123,2010-06-30,263.7986978149414
124,2010-07-01,263.328327331543
125,2010-07-02,262.8283773803711
126,2010-07-06,262.335984954834
127,2010-07-07,261.90455352783204
128,2010-07-08,261.5213705444336
129,2010-07-09,261.15195098876956
130,2010-07-12,260.8397389221191
131,2010-07-13,260.5693684387207
132,2010-07-14,260.32202087402345
133,2010-07-15,260.0778768920898
134,2010-07-16,259.7001992797852
135,2010-07-19,259.3734223937988
136,2010-07-20,259.1489979553223
137,2010-07-21,258.9022511291504
138,2010-07-22,258.66261154174805
139,2010-07-23,258.4073561096191
140,2010-07-26,258.1253242492676
141,2010-07-27,257.81521408081056
142,2010-07-28,257.4155143737793
143,2010-07-29,257.02767654418943
144,2010-07-30,256.6505995178223
145,2010-08-02,256.2199688720703
146,2010-08-03,255.76296173095704
147,2010-08-04,255.39649520874025
148,2010-08-05,255.12081970214842
149,2010-08-06,254.79559463500976
150,2010-08-09,254.49424346923828
151,2010-08-10,254.18047958374024
152,2010-08-11,253.8388380432129
153,2010-08-12,253.51106033325195
154,2010-08-13,253.19749664306642
155,2010-08-16,252.83843765258788
156,2010-08-17,252.4762756347656
157,2010-08-18,252.07317260742187
158,2010-08-19,251.60029983520508
159,2010-08-20,251.07632583618164
160,2010-08-23,250.56056015014647
161,2010-08-24,249.97292236328124
162,2010-08-25,249.39038970947266
163,2010-08-26,248.80360275268555
